id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
KPEO0,Penn Yan,US,NY,,KPEO,42.6371,-77.0529,301.0,America/New_York,2006-01-01,2025-03-01,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KPLB0,Plattsburgh / Plattsburgh West,US,NY,,KPLB,44.6875,-73.5245,113.0,America/New_York,2006-01-01,2007-05-24,2006-01-01,2007-04-28,2006-01-01,2007-01-01
KPOU0,Poughkeepsie  /  New Hackensack,US,NY,,KPOU,41.6266,-73.8842,50.0,America/New_York,1973-01-01,2025-03-01,1973-01-04,2022-04-24,1974-01-01,2022-01-01
KPTD0,Potsdam,US,NY,,KPTD,44.6767,-74.9484,144.0,America/New_York,2020-01-14,2025-03-01,2020-01-14,2022-04-25,2020-01-01,2022-01-01
KSCH0,Schenectady / Stoodley Corners,US,NY,,KSCH,42.8525,-73.9289,115.0,America/New_York,1981-04-21,2025-02-28,,,,
KSDC0,Williamson / East Williamson,US,NY,,KSDC,43.2346,-77.1195,129.0,America/New_York,2020-01-14,2025-03-01,2020-01-14,2022-04-25,2020-01-01,2022-01-01
KUCA0,Utica / Colemans Mills,US,NY,,KUCA,43.15,-75.3833,228.0,America/New_York,1973-01-01,2007-01-18,1973-01-01,2007-01-17,2001-01-01,2006-01-01
KVGC0,Hamilton / Pecksport,US,NY,,KVGC,42.8434,-75.5612,346.0,America/New_York,2020-07-16,2025-03-01,2020-07-16,2022-04-25,2020-01-01,2022-01-01
M3OTI,Canandaigua Airport,US,NY,,KIUA,42.9089,-77.3252,248.0,America/New_York,2022-04-23,2025-03-01,2022-04-23,2022-04-25,,
O5PFW,Newburgh / Stewart,US,NY,,KSWF,41.5,-74.1,150.0,America/New_York,2022-04-23,2025-03-01,,,,
