"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"03/01/2025 08:00:00","EST","CAPITL",61757,1259.531
"03/01/2025 08:00:00","EST","CENTRL",61754,1789.3848
"03/01/2025 08:00:00","EST","DUNWOD",61760,592.5325
"03/01/2025 08:00:00","EST","GENESE",61753,1121.3416
"03/01/2025 08:00:00","EST","HUD VL",61758,922.4824
"03/01/2025 08:00:00","EST","LONGIL",61762,1901.9291
"03/01/2025 08:00:00","EST","MHK VL",61756,907.8875
"03/01/2025 08:00:00","EST","MILLWD",61759,292.7845
"03/01/2025 08:00:00","EST","N.Y.C.",61761,4739.9677
"03/01/2025 08:00:00","EST","NORTH",61755,668.97
"03/01/2025 08:00:00","EST","WEST",61752,1748.1474
"03/01/2025 09:00:00","EST","CAPITL",61757,1228.9707
"03/01/2025 09:00:00","EST","CENTRL",61754,1841.9085
"03/01/2025 09:00:00","EST","DUNWOD",61760,573.2157
"03/01/2025 09:00:00","EST","GENESE",61753,1118.4814
"03/01/2025 09:00:00","EST","HUD VL",61758,775.6667
"03/01/2025 09:00:00","EST","LONGIL",61762,1774.9189
"03/01/2025 09:00:00","EST","MHK VL",61756,892.5726
"03/01/2025 09:00:00","EST","MILLWD",61759,281.8836
"03/01/2025 09:00:00","EST","N.Y.C.",61761,4859.8456
"03/01/2025 09:00:00","EST","NORTH",61755,666.5089
"03/01/2025 09:00:00","EST","WEST",61752,1737.663
"03/01/2025 10:00:00","EST","CAPITL",61757,1290.5803
"03/01/2025 10:00:00","EST","CENTRL",61754,1864.8581
"03/01/2025 10:00:00","EST","DUNWOD",61760,562.7305
"03/01/2025 10:00:00","EST","GENESE",61753,1086.0378
"03/01/2025 10:00:00","EST","HUD VL",61758,697.5838
"03/01/2025 10:00:00","EST","LONGIL",61762,1809.94
"03/01/2025 10:00:00","EST","MHK VL",61756,886.3256
"03/01/2025 10:00:00","EST","MILLWD",61759,244.1485
"03/01/2025 10:00:00","EST","N.Y.C.",61761,4867.9923
"03/01/2025 10:00:00","EST","NORTH",61755,667.051
"03/01/2025 10:00:00","EST","WEST",61752,1718.1254
"03/01/2025 11:00:00","EST","CAPITL",61757,1350.1145
"03/01/2025 11:00:00","EST","CENTRL",61754,1839.9422
"03/01/2025 11:00:00","EST","DUNWOD",61760,543.6168
"03/01/2025 11:00:00","EST","GENESE",61753,1062.4843
"03/01/2025 11:00:00","EST","HUD VL",61758,763.7461
"03/01/2025 11:00:00","EST","LONGIL",61762,1754.4008
"03/01/2025 11:00:00","EST","MHK VL",61756,855.2793
"03/01/2025 11:00:00","EST","MILLWD",61759,226.0558
"03/01/2025 11:00:00","EST","N.Y.C.",61761,4866.7301
"03/01/2025 11:00:00","EST","NORTH",61755,657.0227
"03/01/2025 11:00:00","EST","WEST",61752,1681.6964
